ID,Pred
2022_1103_1104,0.5
2022_1103_1112,0.5
2022_1103_1116,0.5
2022_1103_1120,0.5
2022_1103_1124,0.5
2022_1103_1129,0.5
2022_1103_1136,0.5
2022_1103_1151,0.5
2022_1103_1159,0.5
2022_1103_1161,0.5
2022_1103_1163,0.5
2022_1103_1166,0.5
2022_1103_1168,0.5
2022_1103_1172,0.5
2022_1103_1174,0.5
2022_1103_1181,0.5
2022_1103_1209,0.5
2022_1103_1211,0.5
2022_1103_1222,0.5
2022_1103_1228,0.5
2022_1103_1231,0.5
2022_1103_1234,0.5
2022_1103_1235,0.5
2022_1103_1240,0.5
2022_1103_1242,0.5
2022_1103_1246,0.5
2022_1103_1255,0.5
2022_1103_1260,0.5
2022_1103_1261,0.5
2022_1103_1266,0.5
2022_1103_1272,0.5
2022_1103_1274,0.5
2022_1103_1276,0.5
2022_1103_1277,0.5
2022_1103_1286,0.5
2022_1103_1293,0.5
2022_1103_1308,0.5
2022_1103_1313,0.5
2022_1103_1314,0.5
2022_1103_1323,0.5
2022_1103_1326,0.5
2022_1103_1344,0.5
2022_1103_1345,0.5
2022_1103_1350,0.5
2022_1103_1353,0.5
2022_1103_1355,0.5
2022_1103_1361,0.5
2022_1103_1362,0.5
2022_1103_1371,0.5
2022_1103_1388,0.5
2022_1103_1389,0.5
2022_1103_1394,0.5
2022_1103_1395,0.5
2022_1103_1397,0.5
2022_1103_1400,0.5
2022_1103_1403,0.5
2022_1103_1411,0.5
2022_1103_1412,0.5
2022_1103_1417,0.5
2022_1103_1425,0.5
2022_1103_1436,0.5
2022_1103_1437,0.5
2022_1103_1439,0.5
2022_1103_1458,0.5
2022_1103_1460,0.5
2022_1103_1461,0.5
2022_1103_1463,0.5
2022_1104_1112,0.5
2022_1104_1116,0.5
2022_1104_1120,0.5
2022_1104_1124,0.5
2022_1104_1129,0.5
2022_1104_1136,0.5
2022_1104_1151,0.5
2022_1104_1159,0.5
2022_1104_1161,0.5
2022_1104_1163,0.5
2022_1104_1166,0.5
2022_1104_1168,0.5
2022_1104_1172,0.5
2022_1104_1174,0.5
2022_1104_1181,0.5
2022_1104_1209,0.5
2022_1104_1211,0.5
2022_1104_1222,0.5
2022_1104_1228,0.5
2022_1104_1231,0.5
2022_1104_1234,0.5
2022_1104_1235,0.5
2022_1104_1240,0.5
2022_1104_1242,0.5
2022_1104_1246,0.5
2022_1104_1255,0.5
2022_1104_1260,0.5
2022_1104_1261,0.5
2022_1104_1266,0.5
2022_1104_1272,0.5
2022_1104_1274,0.5
2022_1104_1276,0.5
2022_1104_1277,0.5
2022_1104_1286,0.5
2022_1104_1293,0.5
2022_1104_1308,0.5
2022_1104_1313,0.5
2022_1104_1314,0.5
2022_1104_1323,0.5
2022_1104_1326,0.5
2022_1104_1344,0.5
2022_1104_1345,0.5
2022_1104_1350,0.5
2022_1104_1353,0.5
2022_1104_1355,0.5
2022_1104_1361,0.5
2022_1104_1362,0.5
2022_1104_1371,0.5
2022_1104_1388,0.5
2022_1104_1389,0.5
2022_1104_1394,0.5
2022_1104_1395,0.5
2022_1104_1397,0.5
2022_1104_1400,0.5
2022_1104_1403,0.5
2022_1104_1411,0.5
2022_1104_1412,0.5
2022_1104_1417,0.5
2022_1104_1425,0.5
2022_1104_1436,0.5
2022_1104_1437,0.5
2022_1104_1439,0.5
2022_1104_1458,0.5
2022_1104_1460,0.5
2022_1104_1461,0.5
2022_1104_1463,0.5
2022_1112_1116,0.5
2022_1112_1120,0.5
2022_1112_1124,0.5
2022_1112_1129,0.5
2022_1112_1136,0.5
2022_1112_1151,0.5
2022_1112_1159,0.5
2022_1112_1161,0.5
2022_1112_1163,0.5
2022_1112_1166,0.5
2022_1112_1168,0.5
2022_1112_1172,0.5
2022_1112_1174,0.5
2022_1112_1181,0.5
2022_1112_1209,0.5
2022_1112_1211,0.5
2022_1112_1222,0.5
2022_1112_1228,0.5
2022_1112_1231,0.5
2022_1112_1234,0.5
2022_1112_1235,0.5
2022_1112_1240,0.5
2022_1112_1242,0.5
2022_1112_1246,0.5
2022_1112_1255,0.5
2022_1112_1260,0.5
2022_1112_1261,0.5
2022_1112_1266,0.5
2022_1112_1272,0.5
2022_1112_1274,0.5
2022_1112_1276,0.5
