ConfAbbrev,Description,Season,TeamID,Season_x,LTeamID_x,WLoc,WTeamID-LTeamID,Season_y,DayNum,WTeamID_y,LTeamID_y,CRType,CityID
a_sun,Atlantic Sun Conference,2022.0,1146.0,2022.0,1331.0,H,1146-1331,2022.0,19.0,1146.0,1331.0,Regular,4081.0
a_sun,Atlantic Sun Conference,2022.0,1184.0,2022.0,1107.0,H,1184-1107,,,,,,
a_sun,Atlantic Sun Conference,2022.0,1195.0,2022.0,1348.0,H,1195-1348,2022.0,22.0,1195.0,1348.0,Regular,4123.0
a_sun,Atlantic Sun Conference,2022.0,1239.0,2022.0,1299.0,H,1239-1299,2022.0,12.0,1239.0,1299.0,Regular,4168.0
a_sun,Atlantic Sun Conference,2022.0,1240.0,2022.0,1105.0,H,1240-1105,2022.0,12.0,1240.0,1105.0,Regular,4167.0
a_sun,Atlantic Sun Conference,2022.0,1244.0,2022.0,1149.0,H,1244-1149,2022.0,27.0,1244.0,1149.0,Regular,4176.0
a_sun,Atlantic Sun Conference,2022.0,1251.0,2022.0,1271.0,H,1251-1271,,,,,,
a_sun,Atlantic Sun Conference,2022.0,1252.0,2022.0,1105.0,H,1252-1105,,,,,,
a_sun,Atlantic Sun Conference,2022.0,1316.0,2022.0,1122.0,H,1316-1122,2022.0,40.0,1316.0,1122.0,Regular,4168.0
a_sun,Atlantic Sun Conference,2022.0,1391.0,2022.0,1158.0,H,1391-1158,,,,,,
a_sun,Atlantic Sun Conference,2022.0,1466.0,2022.0,1290.0,H,1466-1290,,,,,,
a_sun,Atlantic Sun Conference,2022.0,1468.0,2022.0,1184.0,H,1468-1184,,,,,,
a_ten,Atlantic 10 Conference,2022.0,1172.0,2022.0,1174.0,H,1172-1174,2022.0,8.0,1172.0,1174.0,Regular,4089.0
a_ten,Atlantic 10 Conference,2022.0,1173.0,2022.0,1227.0,H,1173-1227,2022.0,8.0,1173.0,1227.0,Regular,4091.0
a_ten,Atlantic 10 Conference,2022.0,1182.0,2022.0,1351.0,H,1182-1351,2022.0,8.0,1182.0,1351.0,Regular,4270.0
a_ten,Atlantic 10 Conference,2022.0,1200.0,2022.0,1162.0,H,1200-1162,2022.0,8.0,1200.0,1162.0,Regular,4045.0
a_ten,Atlantic 10 Conference,2022.0,1203.0,2022.0,1384.0,H,1203-1384,2022.0,8.0,1203.0,1384.0,Regular,4363.0
a_ten,Atlantic 10 Conference,2022.0,1206.0,2022.0,1392.0,H,1206-1392,2022.0,8.0,1206.0,1392.0,Regular,4115.0
a_ten,Atlantic 10 Conference,2022.0,1247.0,2022.0,1107.0,H,1247-1107,2022.0,12.0,1247.0,1107.0,Regular,4266.0
a_ten,Atlantic 10 Conference,2022.0,1269.0,2022.0,1420.0,H,1269-1420,2022.0,8.0,1269.0,1420.0,Regular,4007.0
a_ten,Atlantic 10 Conference,2022.0,1348.0,2022.0,1131.0,H,1348-1131,2022.0,8.0,1348.0,1131.0,Regular,4179.0
a_ten,Atlantic 10 Conference,2022.0,1350.0,2022.0,1300.0,H,1350-1300,2022.0,8.0,1350.0,1300.0,Regular,4292.0
a_ten,Atlantic 10 Conference,2022.0,1382.0,2022.0,1373.0,H,1382-1373,2022.0,8.0,1382.0,1373.0,Regular,4465.0
a_ten,Atlantic 10 Conference,2022.0,1386.0,2022.0,1271.0,H,1386-1271,2022.0,8.0,1386.0,1271.0,Regular,4266.0
a_ten,Atlantic 10 Conference,2022.0,1387.0,2022.0,1146.0,H,1387-1146,2022.0,8.0,1387.0,1146.0,Regular,4329.0
a_ten,Atlantic 10 Conference,2022.0,1433.0,2022.0,1389.0,H,1433-1389,2022.0,8.0,1433.0,1389.0,Regular,4292.0
aac,American Athletic Conference,2022.0,1153.0,2022.0,1191.0,H,1153-1191,2022.0,8.0,1153.0,1191.0,Regular,4072.0
aac,American Athletic Conference,2022.0,1187.0,2022.0,1354.0,H,1187-1354,2022.0,8.0,1187.0,1354.0,Regular,4138.0
aac,American Athletic Conference,2022.0,1222.0,2022.0,1220.0,H,1222-1220,2022.0,8.0,1222.0,1220.0,Regular,4157.0
aac,American Athletic Conference,2022.0,1272.0,2022.0,1399.0,H,1272-1399,2022.0,8.0,1272.0,1399.0,Regular,4213.0
aac,American Athletic Conference,2022.0,1374.0,2022.0,1270.0,H,1374-1270,2022.0,8.0,1374.0,1270.0,Regular,4001.0
aac,American Athletic Conference,2022.0,1378.0,2022.0,1126.0,H,1378-1126,2022.0,8.0,1378.0,1126.0,Regular,4342.0
aac,American Athletic Conference,2022.0,1396.0,2022.0,1271.0,H,1396-1271,2022.0,9.0,1396.0,1271.0,Regular,4266.0
aac,American Athletic Conference,2022.0,1408.0,2022.0,1368.0,H,1408-1368,2022.0,8.0,1408.0,1368.0,Regular,4237.0
aac,American Athletic Conference,2022.0,1409.0,2022.0,1322.0,H,1409-1322,2022.0,9.0,1409.0,1322.0,Regular,4351.0
aac,American Athletic Conference,2022.0,1416.0,2022.0,1352.0,H,1416-1352,2022.0,9.0,1416.0,1352.0,Regular,4258.0
aac,American Athletic Conference,2022.0,1455.0,2022.0,1240.0,H,1455-1240,2022.0,8.0,1455.0,1240.0,Regular,4368.0
acc,Atlantic Coast Conference,2022.0,1130.0,2022.0,1171.0,H,1130-1171,2022.0,8.0,1130.0,1171.0,Regular,4070.0
acc,Atlantic Coast Conference,2022.0,1155.0,2022.0,1342.0,H,1155-1342,2022.0,8.0,1155.0,1342.0,Regular,4139.0
acc,Atlantic Coast Conference,2022.0,1181.0,2022.0,1119.0,H,1181-1119,,,,,,
acc,Atlantic Coast Conference,2022.0,1199.0,2022.0,1335.0,H,1199-1335,2022.0,9.0,1199.0,1335.0,Regular,4341.0
acc,Atlantic Coast Conference,2022.0,1210.0,2022.0,1391.0,H,1210-1391,2022.0,11.0,1210.0,1391.0,Regular,4016.0
acc,Atlantic Coast Conference,2022.0,1257.0,2022.0,1380.0,H,1257-1380,2022.0,8.0,1257.0,1380.0,Regular,4203.0
acc,Atlantic Coast Conference,2022.0,1274.0,2022.0,1145.0,H,1274-1145,2022.0,8.0,1274.0,1145.0,Regular,4084.0
acc,Atlantic Coast Conference,2022.0,1301.0,2022.0,1137.0,H,1301-1137,2022.0,8.0,1301.0,1137.0,Regular,4287.0
