,lowidlose_prob,lowidwin_prob,LowIDwin,TeamA_ID,TeamB_ID,TeamA_Name,TeamB_Name,Winner
0,0.408,0.592,1,1103,1104,Akron,Alabama,Akron
1,0.504,0.496,0,1103,1112,Akron,Arizona,Arizona
2,0.452,0.548,1,1103,1116,Akron,Arkansas,Akron
3,0.464,0.536,1,1103,1120,Akron,Auburn,Akron
4,0.512,0.488,0,1103,1124,Akron,Baylor,Baylor
5,0.436,0.564,1,1103,1129,Akron,Boise St,Akron
6,0.5,0.5,0,1103,1136,Akron,Bryant,Bryant
7,0.492,0.508,1,1103,1151,Akron,Chattanooga,Akron
8,0.496,0.504,1,1103,1159,Akron,Colgate,Akron
9,0.536,0.464,0,1103,1161,Akron,Colorado St,Colorado St
10,0.488,0.512,1,1103,1163,Akron,Connecticut,Akron
11,0.444,0.556,1,1103,1166,Akron,Creighton,Akron
12,0.5,0.5,0,1103,1168,Akron,CS Fullerton,CS Fullerton
13,0.444,0.556,1,1103,1172,Akron,Davidson,Akron
14,0.572,0.428,0,1103,1174,Akron,Delaware,Delaware
15,0.544,0.456,0,1103,1181,Akron,Duke,Duke
16,0.556,0.444,0,1103,1209,Akron,Georgia St,Georgia St
17,0.548,0.452,0,1103,1211,Akron,Gonzaga,Gonzaga
18,0.516,0.484,0,1103,1222,Akron,Houston,Houston
19,0.536,0.464,0,1103,1228,Akron,Illinois,Illinois
20,0.484,0.516,1,1103,1231,Akron,Indiana,Akron
21,0.492,0.508,1,1103,1234,Akron,Iowa,Akron
22,0.428,0.572,1,1103,1235,Akron,Iowa St,Akron
23,0.56,0.44,0,1103,1240,Akron,Jacksonville St,Jacksonville St
24,0.576,0.424,0,1103,1242,Akron,Kansas,Kansas
25,0.512,0.488,0,1103,1246,Akron,Kentucky,Kentucky
26,0.46,0.54,1,1103,1255,Akron,Longwood,Akron
27,0.572,0.428,0,1103,1260,Akron,Loyola-Chicago,Loyola-Chicago
28,0.428,0.572,1,1103,1261,Akron,LSU,Akron
29,0.528,0.472,0,1103,1266,Akron,Marquette,Marquette
30,0.476,0.524,1,1103,1272,Akron,Memphis,Akron
31,0.484,0.516,1,1103,1274,Akron,Miami FL,Akron
32,0.528,0.472,0,1103,1276,Akron,Michigan,Michigan
33,0.516,0.484,0,1103,1277,Akron,Michigan St,Michigan St
34,0.524,0.476,0,1103,1286,Akron,Montana St,Montana St
35,0.472,0.528,1,1103,1293,Akron,Murray St,Akron
36,0.484,0.516,1,1103,1308,Akron,New Mexico St,Akron
37,0.496,0.504,1,1103,1313,Akron,Norfolk St,Akron
38,0.492,0.508,1,1103,1314,Akron,North Carolina,Akron
39,0.48,0.52,1,1103,1323,Akron,Notre Dame,Akron
40,0.528,0.472,0,1103,1326,Akron,Ohio St,Ohio St
41,0.44,0.56,1,1103,1344,Akron,Providence,Akron
42,0.56,0.44,0,1103,1345,Akron,Purdue,Purdue
43,0.448,0.552,1,1103,1350,Akron,Richmond,Akron
44,0.476,0.524,1,1103,1353,Akron,Rutgers,Akron
45,0.54,0.46,0,1103,1355,Akron,S Dakota St,S Dakota St
46,0.42,0.58,1,1103,1361,Akron,San Diego St,Akron
47,0.516,0.484,0,1103,1362,Akron,San Francisco,San Francisco
48,0.46,0.54,1,1103,1371,Akron,Seton Hall,Akron
49,0.508,0.492,0,1103,1388,Akron,St Mary's CA,St Mary's CA
50,0.524,0.476,0,1103,1389,Akron,St Peter's,St Peter's
51,0.44,0.56,1,1103,1394,Akron,TAM C. Christi,Akron
52,0.448,0.552,1,1103,1395,Akron,TCU,Akron
53,0.5,0.5,0,1103,1397,Akron,Tennessee,Tennessee
54,0.496,0.504,1,1103,1400,Akron,Texas,Akron
55,0.504,0.496,0,1103,1403,Akron,Texas Tech,Texas Tech
56,0.496,0.504,1,1103,1411,Akron,TX Southern,Akron
57,0.484,0.516,1,1103,1412,Akron,UAB,Akron
58,0.552,0.448,0,1103,1417,Akron,UCLA,UCLA
59,0.436,0.564,1,1103,1425,Akron,USC,Akron
60,0.372,0.628,1,1103,1436,Akron,Vermont,Akron
61,0.56,0.44,0,1103,1437,Akron,Villanova,Villanova
62,0.48,0.52,1,1103,1439,Akron,Virginia Tech,Akron
63,0.516,0.484,0,1103,1458,Akron,Wisconsin,Wisconsin
64,0.428,0.572,1,1103,1460,Akron,Wright St,Akron
65,0.492,0.508,1,1103,1461,Akron,Wyoming,Akron
66,0.488,0.512,1,1103,1463,Akron,Yale,Akron
67,0.396,0.604,1,1104,1112,Alabama,Arizona,Alabama
68,0.48,0.52,1,1104,1116,Alabama,Arkansas,Alabama
69,0.564,0.436,0,1104,1120,Alabama,Auburn,Auburn
70,0.58,0.42,0,1104,1124,Alabama,Baylor,Baylor
71,0.52,0.48,0,1104,1129,Alabama,Boise St,Boise St
72,0.432,0.568,1,1104,1136,Alabama,Bryant,Alabama
73,0.572,0.428,0,1104,1151,Alabama,Chattanooga,Chattanooga
74,0.504,0.496,0,1104,1159,Alabama,Colgate,Colgate
75,0.504,0.496,0,1104,1161,Alabama,Colorado St,Colorado St
76,0.464,0.536,1,1104,1163,Alabama,Connecticut,Alabama
77,0.512,0.488,0,1104,1166,Alabama,Creighton,Creighton
78,0.572,0.428,0,1104,1168,Alabama,CS Fullerton,CS Fullerton
79,0.504,0.496,0,1104,1172,Alabama,Davidson,Davidson
80,0.528,0.472,0,1104,1174,Alabama,Delaware,Delaware
81,0.492,0.508,1,1104,1181,Alabama,Duke,Alabama
82,0.448,0.552,1,1104,1209,Alabama,Georgia St,Alabama
83,0.452,0.548,1,1104,1211,Alabama,Gonzaga,Alabama
84,0.56,0.44,0,1104,1222,Alabama,Houston,Houston
85,0.46,0.54,1,1104,1228,Alabama,Illinois,Alabama
86,0.464,0.536,1,1104,1231,Alabama,Indiana,Alabama
87,0.46,0.54,1,1104,1234,Alabama,Iowa,Alabama
88,0.596,0.404,0,1104,1235,Alabama,Iowa St,Iowa St
89,0.512,0.488,0,1104,1240,Alabama,Jacksonville St,Jacksonville St
90,0.464,0.536,1,1104,1242,Alabama,Kansas,Alabama
91,0.5,0.5,0,1104,1246,Alabama,Kentucky,Kentucky
92,0.556,0.444,0,1104,1255,Alabama,Longwood,Longwood
93,0.512,0.488,0,1104,1260,Alabama,Loyola-Chicago,Loyola-Chicago
94,0.568,0.432,0,1104,1261,Alabama,LSU,LSU
95,0.536,0.464,0,1104,1266,Alabama,Marquette,Marquette
96,0.604,0.396,0,1104,1272,Alabama,Memphis,Memphis
97,0.568,0.432,0,1104,1274,Alabama,Miami FL,Miami FL
98,0.456,0.544,1,1104,1276,Alabama,Michigan,Alabama
99,0.404,0.596,1,1104,1277,Alabama,Michigan St,Alabama
100,0.544,0.456,0,1104,1286,Alabama,Montana St,Montana St
101,0.548,0.452,0,1104,1293,Alabama,Murray St,Murray St
102,0.42,0.58,1,1104,1308,Alabama,New Mexico St,Alabama
103,0.512,0.488,0,1104,1313,Alabama,Norfolk St,Norfolk St
104,0.472,0.528,1,1104,1314,Alabama,North Carolina,Alabama
105,0.552,0.448,0,1104,1323,Alabama,Notre Dame,Notre Dame
106,0.42,0.58,1,1104,1326,Alabama,Ohio St,Alabama
107,0.44,0.56,1,1104,1344,Alabama,Providence,Alabama
108,0.38,0.62,1,1104,1345,Alabama,Purdue,Alabama
109,0.572,0.428,0,1104,1350,Alabama,Richmond,Richmond
110,0.46,0.54,1,1104,1353,Alabama,Rutgers,Alabama
111,0.436,0.564,1,1104,1355,Alabama,S Dakota St,Alabama
112,0.492,0.508,1,1104,1361,Alabama,San Diego St,Alabama
113,0.508,0.492,0,1104,1362,Alabama,San Francisco,San Francisco
114,0.488,0.512,1,1104,1371,Alabama,Seton Hall,Alabama
115,0.508,0.492,0,1104,1388,Alabama,St Mary's CA,St Mary's CA
116,0.56,0.44,0,1104,1389,Alabama,St Peter's,St Peter's
117,0.536,0.464,0,1104,1394,Alabama,TAM C. Christi,TAM C. Christi
118,0.44,0.56,1,1104,1395,Alabama,TCU,Alabama
119,0.532,0.468,0,1104,1397,Alabama,Tennessee,Tennessee
120,0.544,0.456,0,1104,1400,Alabama,Texas,Texas
121,0.44,0.56,1,1104,1403,Alabama,Texas Tech,Alabama
122,0.42,0.58,1,1104,1411,Alabama,TX Southern,Alabama
123,0.524,0.476,0,1104,1412,Alabama,UAB,UAB
124,0.456,0.544,1,1104,1417,Alabama,UCLA,Alabama
125,0.464,0.536,1,1104,1425,Alabama,USC,Alabama
126,0.516,0.484,0,1104,1436,Alabama,Vermont,Vermont
127,0.484,0.516,1,1104,1437,Alabama,Villanova,Alabama
128,0.46,0.54,1,1104,1439,Alabama,Virginia Tech,Alabama
129,0.424,0.576,1,1104,1458,Alabama,Wisconsin,Alabama
130,0.496,0.504,1,1104,1460,Alabama,Wright St,Alabama
131,0.564,0.436,0,1104,1461,Alabama,Wyoming,Wyoming
132,0.476,0.524,1,1104,1463,Alabama,Yale,Alabama
133,0.528,0.472,0,1112,1116,Arizona,Arkansas,Arkansas
134,0.48,0.52,1,1112,1120,Arizona,Auburn,Arizona
135,0.58,0.42,0,1112,1124,Arizona,Baylor,Baylor
136,0.524,0.476,0,1112,1129,Arizona,Boise St,Boise St
137,0.512,0.488,0,1112,1136,Arizona,Bryant,Bryant
