TeamID,TeamName,FirstD1Season,LastD1Season,NumTournW,NumTournL,NumTournGames,TournWinPct,MaxTournScore,MinTournScore,Number of D1 Seasons
1101,Abilene Chr,2014,2022,1,2,3,0.33,53,44,8
1102,Air Force,1985,2022,0,2,2,0,69,52,37
1103,Akron,1985,2022,0,3,3,0,64,42,37
1104,Alabama,1985,2022,7,7,14,0.5,96,57,37
1105,Alabama A&M,2000,2022,0,1,1,0,69,69,22
1106,Alabama St,1985,2022,0,3,3,0,61,43,37
1107,SUNY Albany,2000,2022,1,5,6,0.17,71,55,22
1108,Alcorn St,1985,2022,0,0,0,0,0,0,37
1110,American Univ,1985,2022,0,3,3,0,67,35,37
1111,Appalachian St,1985,2022,0,1,1,0,53,53,37
1112,Arizona,1985,2022,22,14,36,0.61,100,55,37
1113,Arizona St,1985,2022,3,5,8,0.38,85,56,37
1114,Ark Little Rock,1985,2022,1,2,3,0.33,85,61,37
1115,Ark Pine Bluff,1999,2022,1,1,2,0.5,61,44,23
1116,Arkansas,1985,2022,6,7,13,0.46,86,55,37
1117,Arkansas St,1985,2022,0,0,0,0,0,0,37
1119,Army,1985,2022,0,0,0,0,0,0,37
1120,Auburn,1985,2022,7,3,10,0.7,97,53,37
1122,Austin Peay,1985,2022,0,3,3,0,79,54,37
1123,Ball St,1985,2022,0,0,0,0,0,0,37
1124,Baylor,1985,2022,17,8,25,0.68,91,50,37
1125,Belmont,2000,2022,1,8,9,0.11,81,44,22
1126,Bethune-Cookman,1985,2022,0,0,0,0,0,0,37
1127,Binghamton,2002,2022,0,1,1,0,62,62,20
1128,Birmingham So,2003,2006,0,0,0,0,0,0,3
1129,Boise St,1985,2022,0,3,3,0,71,55,37
1130,Boston College,1985,2022,5,5,10,0.5,88,54,37
1131,Boston Univ,1985,2022,0,1,1,0,53,53,37
1132,Bowling Green,1985,2022,0,0,0,0,0,0,37
1133,Bradley,1985,2022,2,2,4,0.5,77,64,37
1135,Brown,1985,2022,0,0,0,0,0,0,37
1136,Bryant,2009,2022,0,0,0,0,0,0,13
1137,Bucknell,1985,2022,2,6,8,0.25,80,52,37
1138,Buffalo,1992,2022,2,4,6,0.33,91,58,30
1139,Butler,1985,2022,21,11,32,0.66,81,41,37
1140,BYU,1985,2022,4,11,15,0.27,99,53,37
1141,C Michigan,1985,2022,1,1,2,0.5,79,60,37
1142,Cal Poly,1995,2022,1,1,2,0.5,81,37,27
1143,California,1985,2022,3,7,10,0.3,77,52,37
1144,Campbell,1985,2022,0,0,0,0,0,0,37
